ds,y
2016-11-30,11
2016-12-31,5
2017-01-31,15
2017-02-28,6
2017-03-31,21
2017-04-30,9
2017-05-31,14
2017-06-30,27
2017-07-31,46
2017-08-31,42
2017-09-30,45
2017-10-31,46
2017-11-30,53
2017-12-31,43
2018-01-31,63
2018-02-28,69
2018-03-31,71
2018-04-30,64
2018-05-31,91
2018-06-30,115
2018-07-31,137
2018-08-31,110
2018-09-30,108
2018-10-31,141
2018-11-30,130
2018-12-31,70
2019-01-31,156
2019-02-28,62
2019-03-31,92
2019-04-30,204
2019-05-31,147
2019-06-30,219
2019-07-31,173
2019-08-31,180
2019-09-30,232
2019-10-31,257
2019-11-30,149
2019-12-31,127
2020-01-31,190
2020-02-29,153
2020-03-31,210
2020-04-30,327
2020-05-31,245
