ds,y
2017-07-23,18
2017-07-30,16
2017-08-06,21
2017-08-13,9
2017-08-20,14
2017-08-27,7
2017-09-03,11
2017-09-10,20
2017-09-17,8
2017-09-24,8
2017-10-01,19
2017-10-08,13
2017-10-15,11
2017-10-22,8
2017-10-29,20
2017-11-05,18
2017-11-12,8
2017-11-19,9
2017-11-26,11
2017-12-03,28
2017-12-10,14
2017-12-17,23
2017-12-24,11
2017-12-31,2
2018-01-07,20
2018-01-14,12
2018-01-21,19
2018-01-28,28
2018-02-04,20
2018-02-11,16
2018-02-18,36
2018-02-25,15
2018-03-04,21
2018-03-11,35
2018-03-18,18
2018-03-25,21
2018-04-01,21
2018-04-08,21
2018-04-15,19
2018-04-22,19
2018-04-29,22
2018-05-06,21
2018-05-13,16
2018-05-20,28
2018-05-27,34
2018-06-03,24
2018-06-10,36
2018-06-17,34
2018-06-24,38
2018-07-01,35
2018-07-08,29
2018-07-15,26
2018-07-22,51
2018-07-29,36
2018-08-05,32
2018-08-12,38
2018-08-19,26
2018-08-26,30
2018-09-02,23
2018-09-09,15
2018-09-16,20
2018-09-23,61
2018-09-30,30
2018-10-07,34
2018-10-14,30
2018-10-21,41
2018-10-28,44
2018-11-04,53
2018-11-11,36
2018-11-18,35
2018-11-25,23
2018-12-02,43
2018-12-09,29
2018-12-16,24
2018-12-23,26
2018-12-30,3
2019-01-06,40
2019-01-13,51
2019-01-20,46
2019-01-27,36
2019-02-03,30
2019-02-10,23
2019-02-17,21
2019-02-24,23
2019-03-03,31
2019-03-10,27
2019-03-17,38
2019-03-24,47
2019-03-31,34
2019-04-07,75
2019-04-14,94
2019-04-21,62
2019-04-28,79
2019-05-05,51
2019-05-12,52
2019-05-19,57
2019-05-26,67
2019-06-02,92
2019-06-09,67
2019-06-16,57
2019-06-23,53
2019-06-30,134
2019-07-07,33
2019-07-14,62
2019-07-21,68
2019-07-28,58
2019-08-04,72
2019-08-11,67
2019-08-18,79
2019-08-25,66
2019-09-01,53
2019-09-08,75
2019-09-15,88
2019-09-22,67
2019-09-29,101
2019-10-06,75
2019-10-13,76
2019-10-20,75
2019-10-27,94
2019-11-03,80
2019-11-10,75
2019-11-17,56
2019-11-24,85
2019-12-01,39
2019-12-08,75
2019-12-15,52
2019-12-22,55
2019-12-29,22
2020-01-05,22
2020-01-12,71
2020-01-19,86
2020-01-26,81
2020-02-02,71
2020-02-09,84
2020-02-16,83
2020-02-23,71
2020-03-01,88
2020-03-08,74
2020-03-15,94
2020-03-22,104
2020-03-29,67
2020-04-05,89
2020-04-12,77
2020-04-19,74
2020-04-26,178
2020-05-03,105
2020-05-10,75
2020-05-17,84
2020-05-24,65
2020-05-31,129
2020-06-07,61
2020-06-14,129
