ds,y
30-11-2016,11
31-12-2016,5
31-01-2017,15
28-02-2017,6
31-03-2017,21
30-04-2017,9
31-05-2017,14
30-06-2017,27
31-07-2017,46
31-08-2017,42
30-09-2017,45
31-10-2017,46
30-11-2017,53
31-12-2017,43
31-01-2018,63
28-02-2018,69
31-03-2018,71
30-04-2018,64
31-05-2018,91
30-06-2018,115
31-07-2018,137
31-08-2018,110
30-09-2018,108
31-10-2018,141
30-11-2018,130
31-12-2018,70
31-01-2019,156
28-02-2019,62
31-03-2019,92
30-04-2019,204
31-05-2019,147
30-06-2019,219
31-07-2019,173
31-08-2019,180
30-09-2019,232
31-10-2019,257
30-11-2019,149
31-12-2019,127
31-01-2020,190
29-02-2020,153
31-03-2020,210
30-04-2020,327
31-05-2020,245
