Date,Event
5/28/12,Memorial Day
7/4/12,July 4th
9/3/12,Labor Day
10/8/12,Columbus Day
11/12/12,Veterans Day
11/22/12,Thanksgiving
11/23/12,Black Friday
11/26/12,Cyber Monday
12/25/12,Christmas
1/1/13,New Years Day
1/21/13,Martin Luther King Jr. Day
2/18/13,Presidents Day
5/27/13,Memorial Day
7/4/13,July 4th
9/2/13,Labor Day
10/14/13,Columbus Day
11/11/13,Veterans Day
11/28/13,Thanksgiving
11/29/13,Black Friday
12/2/13,Cyber Monday
12/25/13,Christmas
1/1/14,New Years Day
1/20/14,Martin Luther King Jr. Day
2/17/14,Presidents Day
5/26/14,Memorial Day
7/4/14,July 4th
9/1/14,Labor Day
10/13/14,Columbus Day
11/11/14,Veterans Day
11/27/14,Thanksgiving
11/28/14,Black Friday
12/1/14,Cyber Monday
12/25/14,Christmas
1/1/15,New Years Day
1/19/15,Martin Luther King Jr. Day
2/16/15,Presidents Day
5/25/15,Memorial Day
7/4/15,July 4th
9/7/15,Labor Day
10/12/15,Columbus Day
11/11/15,Veterans Day
11/26/15,Thanksgiving
11/27/15,Black Friday
11/30/15,Cyber Monday
12/25/15,Christmas
1/1/16,New Years Day
1/18/16,Martin Luther King Jr. Day
2/15/16,Presidents Day
5/30/16,Memorial Day
6/19/16,Fathers Day
7/4/16,July 4th
9/5/16,Labor Day
10/10/16,Columbus Day
11/11/16,Veterans Day
11/24/16,Thanksgiving
11/25/16,Black Friday
11/28/16,Cyber Monday
12/25/16,Christmas
1/2/17,New Years Day
1/16/17,Martin Luther King Jr. Day
2/20/17,Presidents Day
5/29/17,Memorial Day
6/18/17,Fathers Day
7/4/17,July 4th
9/4/17,Labor Day
10/9/17,Columbus Day
11/10/17,Veterans Day
11/23/17,Thanksgiving
11/24/17,Black Friday
11/27/17,Cyber Monday
12/25/17,Christmas
1/1/18,New Years Day
1/15/18,Martin Luther King Jr. Day
2/19/18,Presidents Day
5/28/18,Memorial Day
6/17/18,Fathers Day
7/4/18,July 4th
9/3/18,Labor Day
10/8/18,Columbus Day
11/12/18,Veterans Day
11/22/18,Thanksgiving
11/23/18,Black Friday
11/26/18,Cyber Monday
12/25/18,Christmas
1/1/19,New Years Day
1/21/19,Martin Luther King Jr. Day
2/18/19,Presidents Day
5/27/19,Memorial Day
6/16/19,Fathers Day
7/4/19,July 4th
9/2/19,Labor Day
10/14/19,Columbus Day
11/11/19,Veterans Day
11/28/19,Thanksgiving
11/29/19,Black Friday
12/2/19,Cyber Monday
12/25/19,Christmas
1/1/20,New Years Day
1/20/20,Martin Luther King Jr. Day
2/17/20,Presidents Day
5/25/20,Memorial Day
6/21/20,Fathers Day
7/4/20,July 4th
9/7/20,Labor Day
10/12/20,Columbus Day
11/11/20,Veterans Day
11/26/20,Thanksgiving
11/27/20,Black Friday
11/30/20,Cyber Monday
12/25/20,Christmas
1/1/21,New Years Day
1/18/21,Martin Luther King Jr. Day
2/15/21,Presidents Day
5/31/21,Memorial Day
6/20/21,Fathers Day
7/4/21,July 4th
9/6/21,Labor Day
10/11/21,Columbus Day
