converted_date,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2017-01-08,10,51,11,3
2017-01-15,14,50,10,2
2017-01-22,9,49,9,1
2017-01-29,15,48,8,0
2017-02-05,9,47,7,3
2017-02-12,13,46,6,2
2017-02-19,12,45,5,1
2017-02-26,10,44,4,0
2017-03-05,14,43,3,3
2017-03-12,12,42,2,2
2017-03-19,12,41,1,1
2017-03-26,28,40,0,0
2017-04-02,16,39,12,4
2017-04-09,15,38,11,3
2017-04-16,9,37,10,2
2017-04-23,12,36,9,1
2017-04-30,14,35,8,0
2017-05-07,18,34,7,3
2017-05-14,16,33,6,2
2017-05-21,16,32,5,1
2017-05-28,9,31,4,0
2017-06-04,11,30,3,3
2017-06-11,18,29,2,2
2017-06-18,12,28,1,1
2017-06-25,15,27,0,0
2017-07-02,10,26,12,4
2017-07-09,9,25,11,3
2017-07-16,9,24,10,2
2017-07-23,17,23,9,1
2017-07-30,15,22,8,0
2017-08-06,17,21,7,3
2017-08-13,9,20,6,2
2017-08-20,10,19,5,1
2017-08-27,5,18,4,0
2017-09-03,9,17,3,3
2017-09-10,18,16,2,2
2017-09-17,7,15,1,1
2017-09-24,7,14,0,0
2017-10-01,16,13,13,4
2017-10-08,10,12,12,3
2017-10-15,11,11,11,2
2017-10-22,4,10,10,1
2017-10-29,15,9,9,0
2017-11-05,13,8,8,3
2017-11-12,7,7,7,2
2017-11-19,7,6,6,1
2017-11-26,8,5,5,0
2017-12-03,27,4,4,4
2017-12-10,12,3,3,3
2017-12-17,19,2,2,2
2017-12-24,9,1,1,1
2017-12-31,2,0,0,0
2018-01-07,18,51,11,3
2018-01-14,7,50,10,2
2018-01-21,13,49,9,1
2018-01-28,20,48,8,0
2018-02-04,13,47,7,3
2018-02-11,13,46,6,2
2018-02-18,36,45,5,1
2018-02-25,7,44,4,0
2018-03-04,15,43,3,3
2018-03-11,21,42,2,2
2018-03-18,13,41,1,1
2018-03-25,16,40,0,0
2018-04-01,15,39,12,4
2018-04-08,15,38,11,3
2018-04-15,14,37,10,2
2018-04-22,16,36,9,1
2018-04-29,18,35,8,0
2018-05-06,18,34,7,3
2018-05-13,14,33,6,2
2018-05-20,20,32,5,1
2018-05-27,27,31,4,0
2018-06-03,17,30,3,3
2018-06-10,30,29,2,2
2018-06-17,25,28,1,1
2018-06-24,31,27,0,0
2018-07-01,26,26,13,4
2018-07-08,25,25,12,3
2018-07-15,22,24,11,2
2018-07-22,49,23,10,1
2018-07-29,31,22,9,0
2018-08-05,30,21,8,3
2018-08-12,33,20,7,2
2018-08-19,18,19,6,1
2018-08-26,23,18,5,0
2018-09-02,16,17,4,4
2018-09-09,13,16,3,3
2018-09-16,18,15,2,2
2018-09-23,55,14,1,1
2018-09-30,22,13,0,0
2018-10-07,27,12,12,3
2018-10-14,22,11,11,2
2018-10-21,31,10,10,1
2018-10-28,40,9,9,0
2018-11-04,39,8,8,3
2018-11-11,26,7,7,2
2018-11-18,29,6,6,1
2018-11-25,20,5,5,0
2018-12-02,37,4,4,4
2018-12-09,25,3,3,3
2018-12-16,18,2,2,2
2018-12-23,20,1,1,1
2018-12-30,3,0,0,0
2019-01-06,30,51,12,3
2019-01-13,43,50,11,2
2019-01-20,38,49,10,1
2019-01-27,28,48,9,0
2019-02-03,26,47,8,3
2019-02-10,18,46,7,2
2019-02-17,16,45,6,1
2019-02-24,18,44,5,0
2019-03-03,21,43,4,4
2019-03-10,22,42,3,3
2019-03-17,30,41,2,2
2019-03-24,28,40,1,1
2019-03-31,32,39,0,0
2019-04-07,70,38,12,3
2019-04-14,85,37,11,2
2019-04-21,50,36,10,1
2019-04-28,67,35,9,0
2019-05-05,42,34,8,3
2019-05-12,47,33,7,2
2019-05-19,40,32,6,1
