converted_date,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2014-12-21,1,1,1,1
2014-12-28,0,0,0,0
2015-01-04,0,51,12,3
2015-01-11,0,50,11,2
2015-01-18,0,49,10,1
2015-01-25,0,48,9,0
2015-02-01,0,47,8,3
2015-02-08,1,46,7,2
2015-02-15,0,45,6,1
2015-02-22,0,44,5,0
2015-03-01,0,43,4,4
2015-03-08,1,42,3,3
2015-03-15,0,41,2,2
2015-03-22,0,40,1,1
2015-03-29,0,39,0,0
2015-04-05,1,38,12,3
2015-04-12,0,37,11,2
2015-04-19,0,36,10,1
2015-04-26,1,35,9,0
2015-05-03,1,34,8,4
2015-05-10,1,33,7,3
2015-05-17,0,32,6,2
2015-05-24,0,31,5,1
2015-05-31,0,30,4,0
2015-06-07,0,29,3,3
2015-06-14,3,28,2,2
2015-06-21,2,27,1,1
2015-06-28,0,26,0,0
2015-07-05,0,25,12,3
2015-07-12,1,24,11,2
2015-07-19,1,23,10,1
2015-07-26,0,22,9,0
2015-08-02,0,21,8,4
2015-08-09,1,20,7,3
2015-08-16,1,19,6,2
2015-08-23,0,18,5,1
2015-08-30,0,17,4,0
2015-09-06,0,16,3,3
2015-09-13,0,15,2,2
2015-09-20,0,14,1,1
2015-09-27,0,13,0,0
2015-10-04,0,12,12,3
2015-10-11,0,11,11,2
2015-10-18,0,10,10,1
2015-10-25,0,9,9,0
2015-11-01,0,8,8,4
2015-11-08,1,7,7,3
2015-11-15,1,6,6,2
2015-11-22,1,5,5,1
2015-11-29,1,4,4,0
2015-12-06,1,3,3,3
2015-12-13,3,2,2,2
2015-12-20,3,1,1,1
2015-12-27,1,0,0,0
2016-01-03,0,51,12,4
2016-01-10,0,50,11,3
2016-01-17,1,49,10,2
2016-01-24,0,48,9,1
2016-01-31,0,47,8,0
2016-02-07,1,46,7,3
2016-02-14,2,45,6,2
2016-02-21,0,44,5,1
2016-02-28,0,43,4,0
2016-03-06,0,42,3,3
2016-03-13,0,41,2,2
2016-03-20,2,40,1,1
2016-03-27,1,39,0,0
2016-04-03,0,38,12,3
2016-04-10,1,37,11,2
2016-04-17,2,36,10,1
2016-04-24,0,35,9,0
2016-05-01,1,34,8,4
2016-05-08,0,33,7,3
2016-05-15,1,32,6,2
2016-05-22,0,31,5,1
2016-05-29,0,30,4,0
2016-06-05,6,29,3,3
2016-06-12,1,28,2,2
2016-06-19,1,27,1,1
2016-06-26,3,26,0,0
2016-07-03,0,25,12,4
2016-07-10,0,24,11,3
2016-07-17,2,23,10,2
2016-07-24,0,22,9,1
2016-07-31,0,21,8,0
2016-08-07,2,20,7,3
2016-08-14,0,19,6,2
2016-08-21,0,18,5,1
2016-08-28,1,17,4,0
2016-09-04,1,16,3,3
2016-09-11,0,15,2,2
2016-09-18,1,14,1,1
2016-09-25,0,13,0,0
2016-10-02,0,12,12,4
2016-10-09,1,11,11,3
2016-10-16,2,10,10,2
2016-10-23,0,9,9,1
2016-10-30,3,8,8,0
2016-11-06,1,7,7,3
2016-11-13,2,6,6,2
2016-11-20,0,5,5,1
2016-11-27,0,4,4,0
2016-12-04,1,3,3,3
2016-12-11,3,2,2,2
2016-12-18,1,1,1,1
2016-12-25,1,0,0,0
2017-01-01,1,52,12,4
2017-01-08,2,51,11,3
2017-01-15,1,50,10,2
2017-01-22,0,49,9,1
2017-01-29,2,48,8,0
2017-02-05,1,47,7,3
2017-02-12,0,46,6,2
