created_date,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2013-01-13,1,50,11,2
2013-01-20,0,49,10,1
2013-01-27,0,48,9,0
2013-02-03,0,47,8,3
2013-02-10,0,46,7,2
2013-02-17,0,45,6,1
2013-02-24,0,44,5,0
2013-03-03,0,43,4,4
2013-03-10,0,42,3,3
2013-03-17,0,41,2,2
2013-03-24,0,40,1,1
2013-03-31,0,39,0,0
2013-04-07,0,38,12,3
2013-04-14,0,37,11,2
2013-04-21,0,36,10,1
2013-04-28,0,35,9,0
2013-05-05,0,34,8,3
2013-05-12,0,33,7,2
2013-05-19,0,32,6,1
2013-05-26,0,31,5,0
2013-06-02,0,30,4,4
2013-06-09,0,29,3,3
2013-06-16,0,28,2,2
2013-06-23,0,27,1,1
2013-06-30,0,26,0,0
2013-07-07,0,25,12,3
2013-07-14,0,24,11,2
2013-07-21,0,23,10,1
2013-07-28,0,22,9,0
2013-08-04,0,21,8,3
2013-08-11,0,20,7,2
2013-08-18,0,19,6,1
2013-08-25,0,18,5,0
2013-09-01,0,17,4,4
2013-09-08,0,16,3,3
2013-09-15,0,15,2,2
2013-09-22,0,14,1,1
2013-09-29,0,13,0,0
2013-10-06,0,12,12,3
2013-10-13,0,11,11,2
2013-10-20,0,10,10,1
2013-10-27,0,9,9,0
2013-11-03,0,8,8,3
2013-11-10,0,7,7,2
2013-11-17,0,6,6,1
2013-11-24,0,5,5,0
2013-12-01,0,4,4,4
2013-12-08,0,3,3,3
2013-12-15,0,2,2,2
2013-12-22,0,1,1,1
2013-12-29,0,0,0,0
2014-01-05,0,51,12,3
2014-01-12,0,50,11,2
2014-01-19,0,49,10,1
2014-01-26,0,48,9,0
2014-02-02,0,47,8,3
2014-02-09,0,46,7,2
2014-02-16,0,45,6,1
2014-02-23,0,44,5,0
2014-03-02,0,43,4,4
2014-03-09,0,42,3,3
2014-03-16,0,41,2,2
2014-03-23,0,40,1,1
2014-03-30,0,39,0,0
2014-04-06,0,38,12,3
2014-04-13,0,37,11,2
2014-04-20,0,36,10,1
2014-04-27,0,35,9,0
2014-05-04,0,34,8,3
2014-05-11,0,33,7,2
2014-05-18,0,32,6,1
2014-05-25,0,31,5,0
2014-06-01,0,30,4,4
2014-06-08,0,29,3,3
2014-06-15,0,28,2,2
2014-06-22,0,27,1,1
2014-06-29,0,26,0,0
2014-07-06,0,25,12,3
2014-07-13,0,24,11,2
2014-07-20,0,23,10,1
2014-07-27,0,22,9,0
2014-08-03,0,21,8,4
2014-08-10,0,20,7,3
2014-08-17,0,19,6,2
2014-08-24,0,18,5,1
2014-08-31,0,17,4,0
2014-09-07,0,16,3,3
2014-09-14,0,15,2,2
2014-09-21,0,14,1,1
2014-09-28,0,13,0,0
2014-10-05,0,12,12,3
2014-10-12,0,11,11,2
2014-10-19,0,10,10,1
2014-10-26,0,9,9,0
2014-11-02,0,8,8,4
2014-11-09,0,7,7,3
2014-11-16,0,6,6,2
2014-11-23,0,5,5,1
2014-11-30,0,4,4,0
2014-12-07,0,3,3,3
2014-12-14,0,2,2,2
2014-12-21,13,1,1,1
2014-12-28,2,0,0,0
2015-01-04,1,51,12,3
2015-01-11,0,50,11,2
2015-01-18,1,49,10,1
2015-01-25,0,48,9,0
2015-02-01,2,47,8,3
2015-02-08,4,46,7,2
2015-02-15,9,45,6,1
2015-02-22,1,44,5,0
2015-03-01,2,43,4,4
2015-03-08,0,42,3,3
2015-03-15,1,41,2,2
2015-03-22,0,40,1,1
2015-03-29,3,39,0,0
2015-04-05,7,38,12,3
2015-04-12,6,37,11,2
2015-04-19,3,36,10,1
2015-04-26,3,35,9,0
2015-05-03,2,34,8,4
2015-05-10,2,33,7,3
2015-05-17,1,32,6,2
2015-05-24,1,31,5,1
2015-05-31,1,30,4,0
2015-06-07,2,29,3,3
