close_date,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2018-01-07,0,51,11,3
2018-01-14,1,50,10,2
2018-01-21,1,49,9,1
2018-01-28,2,48,8,0
2018-02-04,3,47,7,3
2018-02-11,0,46,6,2
2018-02-18,2,45,5,1
2018-02-25,0,44,4,0
2018-03-04,1,43,3,3
2018-03-11,1,42,2,2
2018-03-18,3,41,1,1
2018-03-25,0,40,0,0
2018-04-01,4,39,12,4
2018-04-08,1,38,11,3
2018-04-15,1,37,10,2
2018-04-22,2,36,9,1
2018-04-29,5,35,8,0
2018-05-06,3,34,7,3
2018-05-13,2,33,6,2
2018-05-20,5,32,5,1
2018-05-27,1,31,4,0
2018-06-03,6,30,3,3
2018-06-10,0,29,2,2
2018-06-17,1,28,1,1
2018-06-24,1,27,0,0
2018-07-01,2,26,13,4
2018-07-08,0,25,12,3
2018-07-15,1,24,11,2
2018-07-22,2,23,10,1
2018-07-29,2,22,9,0
2018-08-05,0,21,8,3
2018-08-12,3,20,7,2
2018-08-19,1,19,6,1
2018-08-26,1,18,5,0
2018-09-02,3,17,4,4
2018-09-09,0,16,3,3
2018-09-16,2,15,2,2
2018-09-23,6,14,1,1
2018-09-30,3,13,0,0
2018-10-07,0,12,12,3
2018-10-14,7,11,11,2
2018-10-21,3,10,10,1
2018-10-28,3,9,9,0
2018-11-04,2,8,8,3
2018-11-11,4,7,7,2
2018-11-18,5,6,6,1
2018-11-25,1,5,5,0
2018-12-02,1,4,4,4
2018-12-09,3,3,3,3
2018-12-16,3,2,2,2
2018-12-23,2,1,1,1
2018-12-30,2,0,0,0
2019-01-06,0,51,12,3
2019-01-13,1,50,11,2
2019-01-20,7,49,10,1
2019-01-27,1,48,9,0
2019-02-03,0,47,8,3
2019-02-10,2,46,7,2
2019-02-17,4,45,6,1
2019-02-24,4,44,5,0
2019-03-03,1,43,4,4
2019-03-10,3,42,3,3
2019-03-17,3,41,2,2
2019-03-24,4,40,1,1
2019-03-31,8,39,0,0
2019-04-07,4,38,12,3
2019-04-14,2,37,11,2
2019-04-21,3,36,10,1
2019-04-28,0,35,9,0
2019-05-05,3,34,8,3
2019-05-12,0,33,7,2
2019-05-19,2,32,6,1
2019-05-26,2,31,5,0
2019-06-02,2,30,4,4
2019-06-09,2,29,3,3
2019-06-16,9,28,2,2
2019-06-23,1,27,1,1
2019-06-30,8,26,0,0
2019-07-07,0,25,12,3
2019-07-14,0,24,11,2
2019-07-21,2,23,10,1
2019-07-28,5,22,9,0
2019-08-04,0,21,8,3
2019-08-11,0,20,7,2
2019-08-18,0,19,6,1
2019-08-25,1,18,5,0
2019-09-01,1,17,4,4
2019-09-08,2,16,3,3
2019-09-15,1,15,2,2
2019-09-22,1,14,1,1
2019-09-29,4,13,0,0
2019-10-06,2,12,12,3
2019-10-13,1,11,11,2
2019-10-20,1,10,10,1
2019-10-27,1,9,9,0
2019-11-03,1,8,8,3
2019-11-10,4,7,7,2
2019-11-17,2,6,6,1
2019-11-24,2,5,5,0
2019-12-01,1,4,4,4
2019-12-08,2,3,3,3
2019-12-15,2,2,2,2
2019-12-22,4,1,1,1
2019-12-29,2,0,0,0
2020-01-05,3,51,12,3
2020-01-12,1,50,11,2
2020-01-19,3,49,10,1
2020-01-26,1,48,9,0
2020-02-02,3,47,8,3
2020-02-09,1,46,7,2
2020-02-16,1,45,6,1
2020-02-23,2,44,5,0
2020-03-01,0,43,4,4
2020-03-08,2,42,3,3
2020-03-15,2,41,2,2
2020-03-22,1,40,1,1
2020-03-29,0,39,0,0
2020-04-05,9,38,12,3
2020-04-12,0,37,11,2
2020-04-19,2,36,10,1
2020-04-26,4,35,9,0
2020-05-03,0,34,8,4
2020-05-10,1,33,7,3
2020-05-17,2,32,6,2
2020-05-24,3,31,5,1
2020-05-31,2,30,4,0
2020-06-07,1,29,3,3
2020-06-14,2,28,2,2
2020-06-21,4,27,1,1
2020-06-28,3,26,0,0
2020-07-05,11,25,12,3
2020-07-12,0,24,11,2
2020-07-19,3,23,10,1
2020-07-26,2,22,9,0
2020-08-02,3,21,8,4
2020-08-09,2,20,7,3
2020-08-16,1,19,6,2
2020-08-23,2,18,5,1
2020-08-30,,17,4,0
2020-09-06,,16,3,3
2020-09-13,,15,2,2
2020-09-20,,14,1,1
2020-09-27,,13,0,0
2020-10-04,,12,12,3
2020-10-11,,11,11,2
2020-10-18,,10,10,1
2020-10-25,,9,9,0
2020-11-01,,8,8,4
2020-11-08,,7,7,3
2020-11-15,,6,6,2
