sales__accepted__date__c,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2019-02-03,134,47,8,3
2019-02-10,0,46,7,2
2019-02-17,0,45,6,1
2019-02-24,0,44,5,0
2019-03-03,95,43,4,4
2019-03-10,0,42,3,3
2019-03-17,0,41,2,2
2019-03-24,0,40,1,1
2019-03-31,118,39,0,0
2019-04-07,0,38,12,3
2019-04-14,0,37,11,2
2019-04-21,31,36,10,1
2019-04-28,51,35,9,0
2019-05-05,93,34,8,3
2019-05-12,24,33,7,2
2019-05-19,24,32,6,1
2019-05-26,38,31,5,0
2019-06-02,27,30,4,4
2019-06-09,42,29,3,3
2019-06-16,36,28,2,2
2019-06-23,42,27,1,1
2019-06-30,27,26,0,0
2019-07-07,13,25,12,3
2019-07-14,25,24,11,2
2019-07-21,21,23,10,1
2019-07-28,42,22,9,0
2019-08-04,31,21,8,3
2019-08-11,28,20,7,2
2019-08-18,34,19,6,1
2019-08-25,51,18,5,0
2019-09-01,43,17,4,4
2019-09-08,32,16,3,3
2019-09-15,51,15,2,2
2019-09-22,39,14,1,1
2019-09-29,42,13,0,0
2019-10-06,26,12,12,3
2019-10-13,38,11,11,2
2019-10-20,24,10,10,1
2019-10-27,40,9,9,0
2019-11-03,66,8,8,3
2019-11-10,45,7,7,2
2019-11-17,29,6,6,1
2019-11-24,47,5,5,0
2019-12-01,25,4,4,4
2019-12-08,37,3,3,3
2019-12-15,55,2,2,2
2019-12-22,47,1,1,1
2019-12-29,14,0,0,0
2020-01-05,19,51,12,3
2020-01-12,38,50,11,2
2020-01-19,45,49,10,1
2020-01-26,62,48,9,0
2020-02-02,43,47,8,3
2020-02-09,40,46,7,2
2020-02-16,41,45,6,1
2020-02-23,13,44,5,0
2020-03-01,88,43,4,4
2020-03-08,45,42,3,3
2020-03-15,43,41,2,2
2020-03-22,40,40,1,1
2020-03-29,35,39,0,0
2020-04-05,30,38,12,3
2020-04-12,35,37,11,2
2020-04-19,29,36,10,1
2020-04-26,31,35,9,0
2020-05-03,55,34,8,4
2020-05-10,41,33,7,3
2020-05-17,45,32,6,2
2020-05-24,33,31,5,1
2020-05-31,45,30,4,0
2020-06-07,51,29,3,3
2020-06-14,133,28,2,2
2020-06-21,55,27,1,1
2020-06-28,58,26,0,0
2020-07-05,64,25,12,3
2020-07-12,43,24,11,2
2020-07-19,54,23,10,1
2020-07-26,58,22,9,0
2020-08-02,60,21,8,4
2020-08-09,55,20,7,3
2020-08-16,37,19,6,2
2020-08-23,20,18,5,1
