sales__accepted__date__c,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2019-02-03,47,47,8,3
2019-02-10,0,46,7,2
2019-02-17,0,45,6,1
2019-02-24,0,44,5,0
2019-03-03,31,43,4,4
2019-03-10,0,42,3,3
2019-03-17,0,41,2,2
2019-03-24,0,40,1,1
2019-03-31,39,39,0,0
2019-04-07,0,38,12,3
2019-04-14,0,37,11,2
2019-04-21,3,36,10,1
2019-04-28,12,35,9,0
2019-05-05,30,34,8,3
2019-05-12,5,33,7,2
2019-05-19,7,32,6,1
2019-05-26,11,31,5,0
2019-06-02,8,30,4,4
2019-06-09,14,29,3,3
2019-06-16,6,28,2,2
2019-06-23,9,27,1,1
2019-06-30,11,26,0,0
2019-07-07,1,25,12,3
2019-07-14,8,24,11,2
2019-07-21,5,23,10,1
2019-07-28,7,22,9,0
2019-08-04,4,21,8,3
2019-08-11,7,20,7,2
2019-08-18,7,19,6,1
2019-08-25,7,18,5,0
2019-09-01,8,17,4,4
2019-09-08,4,16,3,3
2019-09-15,9,15,2,2
2019-09-22,9,14,1,1
2019-09-29,11,13,0,0
2019-10-06,5,12,12,3
2019-10-13,6,11,11,2
2019-10-20,8,10,10,1
2019-10-27,10,9,9,0
2019-11-03,11,8,8,3
2019-11-10,7,7,7,2
2019-11-17,10,6,6,1
2019-11-24,7,5,5,0
2019-12-01,4,4,4,4
2019-12-08,15,3,3,3
2019-12-15,12,2,2,2
2019-12-22,7,1,1,1
2019-12-29,3,0,0,0
2020-01-05,1,51,12,3
2020-01-12,7,50,11,2
2020-01-19,4,49,10,1
2020-01-26,8,48,9,0
2020-02-02,11,47,8,3
2020-02-09,6,46,7,2
2020-02-16,13,45,6,1
2020-02-23,7,44,5,0
2020-03-01,16,43,4,4
2020-03-08,12,42,3,3
2020-03-15,13,41,2,2
2020-03-22,11,40,1,1
2020-03-29,13,39,0,0
2020-04-05,9,38,12,3
2020-04-12,10,37,11,2
2020-04-19,11,36,10,1
2020-04-26,14,35,9,0
2020-05-03,17,34,8,4
2020-05-10,11,33,7,3
2020-05-17,10,32,6,2
2020-05-24,8,31,5,1
2020-05-31,6,30,4,0
2020-06-07,15,29,3,3
2020-06-14,28,28,2,2
2020-06-21,16,27,1,1
2020-06-28,17,26,0,0
2020-07-05,13,25,12,3
2020-07-12,14,24,11,2
2020-07-19,22,23,10,1
2020-07-26,11,22,9,0
2020-08-02,13,21,8,4
2020-08-09,9,20,7,3
2020-08-16,20,19,6,2
2020-08-23,11,18,5,1
